profile_id,profile_picture,friend_count,post_count,account_age_days,likes_per_post,comments_per_post,shared_links,about_section,suspicious_activity
P00001,0,3254,234,3221,38.05,12.65,19,0,0
P00002,1,863,452,2493,18.17,18.83,52,0,0
P00003,1,3953,857,956,41.09,8.04,82,0,0
P00004,1,3108,198,2127,48.3,17.89,73,1,0
P00005,0,3055,476,3088,11.35,16.26,25,0,0
P00006,0,3994,32,2185,3.7,3.23,59,0,0
P00007,0,2682,407,2699,21.33,15.75,1,0,0
P00008,1,4690,88,2898,44.07,10.33,2,0,0
P00009,1,613,606,1531,7.51,18.37,55,0,0
P00010,1,1872,220,551,44.29,3.79,65,0,0
P00011,0,3154,68,2121,49.61,2.5,24,0,0
P00012,1,4560,293,3145,2.7,4.83,67,0,0
P00013,1,3373,236,2097,24.76,1.19,14,0,0
P00014,0,3191,906,3081,16.44,6.4,81,0,0
P00015,0,567,159,3174,19.68,5.66,6,1,0
P00016,0,4133,831,387,22.58,8.32,90,1,0
P00017,0,244,839,2432,36.99,9.26,81,0,0
P00018,1,20,787,298,29.56,2.89,70,1,0
P00019,1,393,289,338,48.06,12.39,92,1,0
P00020,0,3814,878,3460,16.64,4.47,40,1,0
P00021,1,2055,553,473,27.08,2.44,59,0,0
P00022,0,3515,903,615,40.67,14.18,43,1,0
P00023,0,2375,577,961,18.65,0.45,32,0,0
P00024,0,1910,532,791,23.26,7.37,65,0,0
P00025,1,289,334,3213,34.25,2.89,81,0,0
P00026,1,2558,581,1193,43.04,17.66,22,0,0
P00027,0,360,772,12,20.78,16.49,63,0,0
P00028,1,1622,501,448,26.6,1.21,5,0,0
P00029,1,4314,245,2221,48.76,11.01,62,1,0
P00030,0,4094,322,1697,2.12,5.91,42,0,0
P00031,1,2453,746,1982,22.41,3.85,24,0,0
P00032,0,2015,938,1155,31.8,6.23,82,0,0
P00033,0,2040,783,3611,0.42,16.32,7,0,0
P00034,1,2044,610,2642,29.84,1.16,36,1,0
P00035,1,2800,328,1920,2.81,12.96,89,0,0
P00036,1,2970,546,2979,42.88,18.27,92,0,0
P00037,0,831,338,1898,40.35,8.96,58,0,0
P00038,0,1793,170,2316,1.61,18.03,27,0,0
P00039,1,3692,109,1274,2.44,18.14,52,0,0
P00040,1,1791,993,1393,37.68,12.19,70,0,0
