Profile_Picture,Username_Randomness,Bio_Completeness,Post_Count,Follower_Count,Following_Count,Engagement_Rate,Account_Age,Is_Verified,Spam_Activity,Output
1,7,0.1429045027377669,490,9229,163,0.7511988535905818,3965,1,1,1
1,2,0.8716216913438932,250,4700,4097,0.27045403010254554,3716,0,0,0
1,8,0.5636697193412902,607,2496,1724,0.7573668985056312,2381,0,1,0
0,7,0.34927937662330855,770,5984,3795,0.9598790621874582,4193,0,0,1
0,3,0.44380103165923324,428,9454,3915,0.23469606021322387,2847,1,1,1
0,8,0.05803071508682989,393,8451,2340,0.9725732314856874,1019,0,1,1
0,9,0.8494152124359126,283,9414,1892,0.43091250029370576,1966,1,1,1
1,5,0.36672365563972664,823,7077,133,0.6341595174334179,3044,0,1,0
0,5,0.18766630090334124,297,5586,835,0.579297618635946,857,0,0,0
1,2,0.9266222597518833,940,2398,3884,0.9251040846351808,3044,1,0,0
1,7,0.5143825210890542,94,1908,847,0.5336006002932192,4779,1,0,1
1,2,0.13658588649140835,241,7967,1668,0.9869030197120213,595,0,0,0
0,5,0.15648147464117745,163,1693,4776,0.5194727449009621,3180,0,1,0
0,5,0.5158574163261372,910,1967,2816,0.8260694499609402,138,0,0,1
1,2,0.9815298992407392,59,8726,83,0.9372268656849406,3341,1,0,0
0,4,0.33583711794196636,901,4604,1629,0.31143303226016517,1701,0,1,0
0,5,0.29805115703766516,565,2694,3419,0.9377440278926715,3515,1,0,1
1,8,0.6848825878427094,167,7401,4165,0.31538620293881636,1468,1,0,1
1,6,0.11721080581335885,762,5706,1882,0.2565361434986113,646,1,1,0
0,0,0.2940854059325053,425,2585,667,0.9195954532400953,1434,0,1,0
1,1,0.5671655015214738,120,1733,1634,0.8597059293574986,4097,1,1,1
0,5,0.7333875680038529,206,7651,3510,0.19121204610597187,3706,0,0,1
1,2,0.17198944932400595,517,8772,283,0.24386724154821626,3637,1,0,0
1,2,0.7659102240447522,35,5139,264,0.1275991491819285,2192,1,0,1
1,8,0.6882416002201106,115,3129,4347,0.9934804792873808,4878,1,1,0
1,1,0.9847432658334415,476,3645,4573,0.5345120726643379,3550,0,0,1
1,7,0.021842627207387277,200,3138,1077,0.447344913141264,4625,0,0,0
0,0,0.12892610986229358,240,361,3097,0.6057329128165333,2031,1,0,0
1,9,0.5546785510009817,877,5275,2305,0.5811343922456293,2350,1,1,1
1,8,0.557804283284775,806,9514,3991,0.8715698154572232,2314,0,1,0
0,7,0.9207222860872731,869,4443,3641,0.3504685260687833,3444,1,1,1
0,7,0.6057607616131431,779,1354,4292,0.018948965172992716,4770,0,0,0
0,5,0.6841408547442759,461,4039,2614,0.5296959951125667,3957,0,0,1
0,3,0.03513862631307907,10,7346,12,0.41643052883678755,4075,1,0,1
0,2,0.35175442098842435,575,6981,4979,0.044597025708645655,2486,0,0,1
1,4,0.2224516255333091,991,6426,1381,0.6117535238905212,333,1,0,0
1,6,0.44600752750129113,822,7450,2678,0.6077484779909375,2647,1,1,1
0,1,0.5625074426068644,529,7203,4864,0.6632786741613326,3364,1,1,1
1,2,0.4154340046320655,533,8838,3585,0.7841842075017441,3758,1,0,0
0,0,0.05318802920875898,852,3983,771,0.6621181089444159,429,0,0,0
1,9,0.0034663278352621285,535,2398,75,0.2314738373004921,2785,1,0,0
0,3,0.9846267182678756,35,6761,1370,0.24594943377202172,3338,0,1,0
0,7,0.532141183060985,986,8813,2122,0.7717866185386257,2396,0,0,0
1,0,0.43311008117125094,762,5581,1883,0.24150722521518886,2439,1,0,0
0,1,0.7341342184615812,294,937,4619,0.469894975412639,2366,0,0,0
1,6,0.7109686598069508,348,7207,1390,0.29567193634553857,4282,1,1,1
0,8,0.7911441136430211,26,5246,3027,0.5021103662745746,1321,1,1,0
0,4,0.15239693240387453,706,6348,2018,0.020591932996659956,3531,0,1,0
1,7,0.9490128697444136,775,2154,686,0.9669421840619188,136,1,0,0
0,9,0.3626300947605826,734,300,1383,0.11881573643918841,4382,0,1,0
0,0,0.5689159720852857,84,2923,1938,0.44956612326126977,4255,1,0,1
1,2,0.5601031066862505,24,7958,1905,0.7130426237667538,2339,0,0,0
1,3,0.2944562399756716,246,8062,4425,0.10109306061375845,4360,1,1,0
1,7,0.752167139366437,321,913,2227,0.749899602902347,3747,1,1,1
1,4,0.5956673876805522,600,3167,2086,0.40574657983156415,4726,0,1,1
1,1,0.34865676458520967,520,6682,4241,0.8854597991547297,408,1,1,0
0,6,0.874065420289571,29,4233,1706,0.9362624505637038,3864,0,1,0
1,8,0.11596600931069301,748,4200,708,0.8324179301796595,4783,1,0,0
0,2,0.25083533691259674,530,1384,1400,0.9959539003849409,3651,0,0,1
1,3,0.3981464336589041,734,9484,2165,0.25734357563461907,279,0,1,0
1,7,0.10117190078351834,493,3580,1652,0.39508179211542394,1934,1,0,0
0,4,0.576175099063797,53,5795,542,0.6529906683268089,4796,1,1,1
0,9,0.24311438086002368,371,9197,2840,0.7056480077355358,783,1,1,1
0,6,0.024843009281552586,713,2038,849,0.8663090747979479,4158,1,0,1
0,2,0.64839339325205,15,531,680,0.6281905242911244,4425,0,0,1
1,6,0.14950159454213818,165,4342,3326,0.28225353751462146,2934,1,0,0
0,7,0.7710431296458009,207,530,1527,0.7156684204932631,1894,1,0,0
1,5,0.26039245853635895,137,483,4139,0.5330103978457561,3937,0,1,0
1,0,0.11836008725900804,469,8605,946,0.9930439703270064,296,0,0,1
0,4,0.26008883392979,302,1507,4088,0.1312976938361804,4582,1,1,1
1,7,0.43490792900691266,976,3065,4951,0.19207024017409224,4866,0,0,1
1,9,0.6530092538698821,90,4669,4121,0.7716277006370893,1699,1,1,0
0,8,0.11941124941804493,153,1015,26,0.7023563533385798,1524,1,1,0
1,3,0.3335676281816595,577,9628,1959,0.9868087562512385,3854,0,0,0
0,1,0.9013822090924457,882,1031,4758,0.7975572090201076,2815,1,1,1
1,9,0.7077599967852316,482,7534,2745,0.5653470371923793,2959,0,0,0
0,9,0.01806347748820014,125,1253,3146,0.8067074608629033,4291,0,0,1
1,6,0.8157564153089204,255,7485,1268,0.5266735115312041,4123,1,0,1
0,4,0.9818574243839264,413,753,4733,0.2138962906815478,2025,0,1,0
1,9,0.2564884604897232,378,6515,4815,0.19822312141784137,2137,1,0,1
0,2,0.9742749827150535,819,7068,4116,0.9925604935884734,4914,0,1,0
1,2,0.4836645386241587,127,6016,1323,0.816216399064692,3957,1,0,0
1,3,0.09650968394504678,221,9623,3545,0.15204074487710295,269,1,0,1
1,5,0.03228510041644628,191,2752,4358,0.4177365310501582,3455,0,0,1
0,6,0.5678739892453254,497,4991,1587,0.9784868766035247,4692,1,1,0
0,5,0.2708674581803274,300,7538,3031,0.35487866868910733,4705,0,0,1
1,7,0.3165506550730549,199,8505,3081,0.5115119887481617,1297,1,1,1
0,9,0.8392677400819203,536,5761,4248,0.0965873251557644,3829,1,0,0
1,5,0.846578410383294,743,4513,3804,0.4761908350015528,3247,0,1,0
1,2,0.20187307049011205,245,6457,4035,0.5065966473344807,4472,1,1,1
0,6,0.4881264360052934,902,5620,4989,0.1613888167054064,2827,1,1,1
0,8,0.7162811034450144,924,8606,2967,0.07478696682813946,1067,1,0,1
1,3,0.38218788162178485,367,8483,1337,0.6679539650861999,4962,0,1,1
0,5,0.4370246142789431,799,2871,2001,0.6751625654111304,1999,1,0,0
1,5,0.6121206869556401,178,5415,1763,0.5708322628609461,2119,1,0,1
0,5,0.23364618093609946,501,3589,1120,0.039578420747626075,2417,1,0,0
0,4,0.07583931204839167,385,4659,1612,0.3215726340005165,1349,1,0,1
0,2,0.4699108842654699,594,4492,3795,0.6365744983210258,1225,0,0,0
1,0,0.619259639344272,652,2064,1347,0.9679787050884774,4634,0,1,0
0,3,0.01960408693610527,252,6301,4193,0.8782403918574833,4827,1,0,1
1,9,0.09626999611774312,100,3888,1725,0.9450155175061622,2150,1,0,0
1,0,0.6972643308277793,823,3970,964,0.28823216679605945,4628,1,0,1
0,2,0.39225223406955423,332,7392,3178,0.2658262669971274,218,0,0,0
0,6,0.5273199951471765,1,6064,2585,0.07030148743681786,2565,1,1,1
1,1,0.25428207459666397,402,8869,4215,0.6721589210919567,2684,0,1,1
1,1,0.55384925121064,505,414,2928,0.016433086801302288,4224,0,0,1
1,2,0.8915746688616591,291,8648,3949,0.04954806887605934,1797,0,1,0
0,1,0.6137454385751537,610,1824,1225,0.9683333722739731,3128,1,0,0
0,6,0.9157379813236923,529,9652,236,0.7738225993116158,944,0,1,1
0,6,0.3645144483283689,616,3008,2851,0.8475478232567367,3299,0,1,1
0,7,0.4163367360611937,159,2583,2685,0.9706951738008563,3213,0,0,1
1,2,0.9329397141458738,52,8645,1321,0.4235446707152446,2589,1,1,0
0,3,0.875139804472668,615,9644,1791,0.1293380323609803,685,1,1,0
0,2,0.9382136232164996,342,3465,1056,0.6408864384610402,817,1,1,1
1,5,0.938803883711401,37,4655,2651,0.7635725629950316,2698,1,1,0
1,4,0.709328366783571,88,9095,3670,0.624768662331976,2269,1,0,0
1,8,0.3969930520030024,963,2010,1984,0.003992222958498548,2049,0,0,0
1,4,0.21130132914665478,101,7034,279,0.9650844392413988,3244,1,1,0
0,9,0.20685336218855044,472,2018,230,0.6386364570843539,574,1,1,0
0,5,0.3001464312309965,520,1554,1210,0.499974891208113,2076,0,0,1
1,7,0.4323922687331513,680,2575,1974,0.949418660423985,4227,1,0,0
1,4,0.7978594945897204,66,9317,4738,0.3213563702647867,1879,0,1,0
0,9,0.5508890971024362,149,6580,1308,0.7766962601191608,4047,0,1,0
1,6,0.722054285469721,182,6440,2316,0.022863823505875125,1610,1,0,0
0,0,0.35674589627031217,30,8913,3212,0.4680282154916273,1833,0,0,0
0,6,0.551625013378854,222,715,831,0.984243892626832,1304,1,1,1
1,7,0.6425151171184368,940,8521,368,0.9722418399553743,3447,0,1,0
1,6,0.012138009258969573,652,41,510,0.47410300297211583,1243,0,1,1
0,3,0.44589696470938656,466,1095,2959,0.6359091271821247,704,0,1,0
0,3,0.6981370699734731,972,4553,500,0.18461433901710256,4529,1,0,0
1,2,0.5246708739939936,516,4932,2707,0.631288758055058,4183,0,0,0
0,6,0.6700197562267698,218,5324,3407,0.8497513740715217,4468,0,0,0
1,3,0.20889874808749265,742,7612,4641,0.8170100624460689,3596,0,0,0
1,7,0.08814664864535449,2,1088,3601,0.8533920331322696,4343,1,0,0
0,6,0.30923415560343515,653,9783,1323,0.7904023602812097,2580,0,1,0
1,6,0.36968116648794347,815,4917,373,0.26871286856174326,4285,1,1,0
0,5,0.6167156907560298,746,6660,1898,0.9655182499759981,2379,0,1,1
1,8,0.29870465102021404,828,1233,2907,0.7188670603817869,4021,1,1,0
1,2,0.3269780630739544,968,8358,1013,0.3843857133126606,1624,1,1,1
1,3,0.9223650044803055,794,5792,2039,0.06434133369366657,573,0,0,0
0,0,0.8298053530333556,901,1494,1374,0.026078922734984133,1521,0,0,1
1,4,0.1944900700163279,643,1318,270,0.27412154453294746,400,1,0,1
1,3,0.6408296009372906,766,3409,866,0.6044880686317781,3510,1,1,1
0,8,0.945055184923921,113,6441,3801,0.577326324563842,2869,1,0,1
0,3,0.4245495648400318,983,1459,3034,0.7896196154372559,3501,1,0,0
1,5,0.8480980020284921,774,169,4833,0.4993560594580203,2315,0,0,1
0,0,0.46452545077098073,939,2750,1422,0.9322504238551588,4609,0,0,1
0,6,0.9469148418174168,198,4205,1624,0.30913130473364014,2670,1,0,1
0,1,0.0016228359156321703,369,7217,2001,0.1126015395083434,371,1,0,1
1,1,0.7448674967853776,614,4846,4362,0.2887200967201051,4185,1,1,0
1,9,0.7819604753556475,534,1410,4617,0.7019097008285563,2416,0,0,1
1,2,0.11342852282821525,922,8291,98,0.23436525736836478,3353,0,0,1
1,2,0.22311328872792213,938,7109,2606,0.02573740493136434,2550,0,1,0
0,9,0.5922470391094872,11,9659,2775,0.6466207726090318,3725,1,0,0
1,7,0.9893907471767787,120,2395,4744,0.44922413664186733,4211,0,1,0
1,9,0.8261222227326238,311,5452,3913,0.2830214380098155,2633,0,1,0
1,7,0.3979233261773386,961,7040,4989,0.5093420325233241,1893,1,0,1
1,6,0.570302150300444,429,6407,2485,0.8277419617053261,1071,0,0,0
